CO_UNIDADE,CO_CNES,NO_FANTASIA,NO_RAZAO_SOCIAL,CATEGORIA_UNIDADE,DS_TIPO_ESTABELECIMENTO,ENDERECO,NO_BAIRRO,CO_CEP,NO_MUNICIPIO,CO_MUNICIPIO_GESTOR,NU_TELEFONE,NO_EMAIL,LAT,LON,CO_NATUREZA_JUR,TP_GESTAO,CO_TIPO_ESTABELECIMENTO,"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')"
3300103934659,3934659,CLINICA DA FAMILIA CENTRO,SECRETARIA MUNICIPAL DE SAUDE,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA DOUTOR MOACIR DE PAULA LOBO, 151, CENTRO - CEP 23900370",CENTRO,23900370,ANGRA DOS REIS,330010,2433655589,,-23.008,-44.323,1244,M,001,21/01/2026
3300109513108,9513108,CLINICA DA FAMILIA DE JACUECANGA,SECRETARIA MUNICIPAL DE SAUDE,Clinica da familia,UNIDADE BASICA DE SAUDE,"AVENIDA CONDE MAURICIO DE NASSAU, 400, SALAS 1 2 E 3, JACUECANGA - CEP 23914340",JACUECANGA,23914340,ANGRA DOS REIS,330010,,,-22.992,-44.242,1244,M,001,27/06/2025
3300105477980,5477980,CLINICA DA FAMILIA DO FRADE,SECRETARIA MUNICIPAL DE SAUDE,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA NILO MIGUEL DOS ANJOS, 131, B, FRADE - CEP 23946010",FRADE,23946010,ANGRA DOS REIS,330010,2433696168,,-22.961,-44.438,1244,M,001,09/01/2026
3300103923789,3923789,CLINICA DA FAMILIA VILA CAMPO BELO,SECRETARIA MUNICIPAL DE SAUDE,Clinica da familia,UNIDADE BASICA DE SAUDE,"VILA CAMPO BELO R 5, 445, JAPUIBA - CEP 23932680",JAPUIBA,23932680,ANGRA DOS REIS,330010,2433659018,,-22.985,-44.303,1244,M,001,12/02/2026
3300152267462,2267462,CLINICA DA FAMILIA ANIZ TUFFI DAIBES,MUNICIPIO DE APERIBE,Clinica da familia,AMBULATORIO,"RUA ANTONIO JOSE MOREIRA, 359, SAO VICENTE DE PAULA - CEP 28495000",SAO VICENTE DE PAULA,28495000,APERIBE,330015,2238641439,,-21.622003875824124,-42.10886774268365,1244,M,016,08/04/2025
3300239433546,9433546,CLINICA DA FAMILIA OLAVO DA COSTA,PREFEITURA MUNICIPAL DE ARMACAO DOS BUZIOS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA DAS FLORES CAMPESTRES, 49, VILA VERDE - CEP 28959740",VILA VERDE,28959740,ARMACAO DOS BUZIOS,330023,,,-22.747372244925586,-41.98043346405029,1244,M,001,24/03/2026
3300407535074,7535074,USF VISTA ALEGRE CLINICA DA FAMILIA,PREFEITURA MUNICIPAL DE BARRA MANSA,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA SAO PEDRO, 804, VISTA ALEGRE - CEP 27320400",VISTA ALEGRE,27320400,BARRA MANSA,330040,(24) 3512-0793,,-22.545260214902324,-44.17252779006958,1244,M,001,10/04/2026
3300502296446,2296446,CLINICA DA FAMILIA ALVARO NUNES GUIMARAES,FUNDO MUNICIPAL DE SAUDE DE BOM JARDIM,Clinica da familia,AMBULATORIO,"RUA MARIA EUGENIA MERLIM, 00, SAO MIGUEL - CEP 28660000",SAO MIGUEL,28660000,BOM JARDIM,330050,(22)25662036,saude@bomjardim.rj.gov.br,-22.153654,-42.418987,1244,M,016,09/12/2025
3300604006666,4006666,CLINICA DA FAMILIA PADRE JOSE PAULO ESF,SECRETARIA MUNICIPAL DE SAUDE DE BOM JESUS DO ITABAPOANA,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA FRANCISCO BORGES SOBRINHO, S/N, CENTRO - CEP 28360000",CENTRO,28360000,BOM JESUS DO ITABAPOANA,330060,,,-21.155978,-41.648161,1244,M,001,05/02/2026
3301157893175,7893175,CLINICA DA FAMILIA VEREADOR EDVALDO DE ALMEIDA MEDEIROS,FUNDO MUNICIPAL DE SAUDE CARDOSO MOREIRA,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA MARIA DA CONCEICAO NUNES SIQUEIRA, S/N, CONJUNTO SAO JOSE - CEP 28180000",CONJUNTO SAO JOSE,28180000,CARDOSO MOREIRA,330115,,clinicadafamiliacm@gmail.com,-21.501420457644674,-41.61204814910889,1244,M,001,08/01/2026
3301402290189,2290189,ESF CLINICA DA FAMILIA DR EUCLIDES MONTELEONE,SECRETARIA MUNICIPAL DE SAUDE DE CONCEICAO DE MACABU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA RANULFO GOMES, S/N, SAO HENRY - CEP 28740000",SAO HENRY,28740000,CONCEICAO DE MACABU,330140,2227792357,semsa@conceicaodemacabu.rj.gov.br,-22.0838675,-41.87227889999997,1244,M,001,24/09/2025
3301705205492,5205492,CLINICA DA FAMILIA BARRO BRANCO,MUNICIPIO DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"AVENIDA PEDRO ALVARES CABRAL, S/N, ZONA RURAL, JARDIM BARRO BRANCO - CEP 25267100",JARDIM BARRO BRANCO,25267100,DUQUE DE CAXIAS,330170,,,-22.636684,-43.246361,1244,M,001,25/03/2026
3301705815495,5815495,CLINICA DA FAMILIA CAMPOS ELISEOS,PREFEITURA MUNICIPAL DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"AVENIDA ACTURA, 333, ANEXO, CAMPOS ELISEOS - CEP 25225210",CAMPOS ELISEOS,25225210,DUQUE DE CAXIAS,330170,,,-22.6535627,-43.3250077,1244,M,001,13/11/2025
3301704666836,4666836,CLINICA DA FAMILIA CAPIVARI,PREFEITURA MUNICIPAL DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA IRIE, S/N, PARQUE CAPIVARI - CEP 25245230",PARQUE CAPIVARI,25245230,DUQUE DE CAXIAS,330170,,,-22.6450255,-43.3341321,1244,M,001,31/03/2026
3301704855205,4855205,CLINICA DA FAMILIA EVANGELINA TAVARES,PREFEITURA MUNICIPAL DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"AVENIDA EXPEDICIONARIO JOSE AMARO, 755, VILA SAO LUIZ - CEP 25065090",VILA SAO LUIZ,25065090,DUQUE DE CAXIAS,330170,,,-22.772304,-43.293317,1244,M,001,18/03/2026
3301703902781,3902781,CLINICA DA FAMILIA GRAMACHO,MUNICIPIO DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA ENTRE RIOS, S/N, GRAMACHO - CEP 25070260",GRAMACHO,25070260,DUQUE DE CAXIAS,330170,,,-22.754086,-43.309674,1244,M,001,25/03/2026
3301705804906,5804906,CLINICA DA FAMILIA JOSE BEZERRA DA SILVA,PREFEITURA MUNICIPAL DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA OSWALDO ARANHA, S/N, VILA IDEAL - CEP 25010430",VILA IDEAL,25010430,DUQUE DE CAXIAS,330170,,,-22.79289,-43.31409,1244,M,001,25/03/2026
3301702778637,2778637,CLINICA DA FAMILIA JOSE OLAVO DE ARAUJO,MUNICIPIO DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA VISCONDE DE INHAUMA, 85, PILAR - CEP 25235000",PILAR,25235000,DUQUE DE CAXIAS,330170,,,-22.7018087,-43.2945121,1244,M,001,30/03/2026
3301705575141,5575141,CLINICA DA FAMILIA MARIA HELENA MONTEIRO,PREFEITURA MUNICIPAL DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA HORACIO GOMES, S/N, VILA CENTENARIO - CEP 25020137",VILA CENTENARIO,25020137,DUQUE DE CAXIAS,330170,,,-22.7792059,-43.3127068,1244,M,001,25/03/2026
3301704650522,4650522,CLINICA DA FAMILIA PANTANAL,PREFEITURA MUNICIPAL DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA ECA DE QUEIROZ, 176, PANTANAL - CEP 25040160",PANTANAL,25040160,DUQUE DE CAXIAS,330170,,,-22.7422472,-43.3262407,1244,M,001,25/03/2026
