CO_UNIDADE,CO_CNES,NO_FANTASIA,NO_RAZAO_SOCIAL,CRITERIO_SELECAO,ENDERECO,NO_BAIRRO,CO_CEP,NO_MUNICIPIO,CO_MUNICIPIO_GESTOR,NU_TELEFONE,NO_EMAIL,LAT,LON,CO_NATUREZA_JUR,TP_GESTAO,CO_TIPO_ESTABELECIMENTO,CO_ATIVIDADE_PRINCIPAL,"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')"
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,FUNDACAO HOSPITALAR JORGE ELIAS MIGUEL,nome Hospital Municipal,"RUA JAPORANGA, 1700, JAPUIBA - CEP 23934055",JAPUIBA,23934055,ANGRA DOS REIS,330010,24 33686556,HGJ.dtec@angra.rj.gov.br,-22.96817,-44.30036,1155,M,006,001,10/04/2026
3300152267454,2267454,HOSPITAL MUNICIPAL AUGUSTINHO GESUALD BLANC,MUNICIPIO DE APERIBE,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA ANTONIO JOSE MOREIRA, 359, SAO VICENTE DE PAULA - CEP 28495000",SAO VICENTE DE PAULA,28495000,APERIBE,330015,2238641710,saude.aperibe@bol.com.br,-21.621327014265688,-42.108728885650635,1244,M,006,009,05/03/2026
3300200221015,0221015,HOSPITAL MUNICIPAL DR JAQUELINE PRATES CNPJ 31 135 0460001 4,HOSPITAL MUNICIPAL DRA JAQUELINE PRATES,nome Hospital Municipal,"MAJOR FELIX MOREIRA, 267, CENTRO - CEP 28979102",CENTRO,28979102,ARARUAMA,330020,22 97402349,sesau01@gmail.com,-22.8740661,-42.3355732,1031,M,006,007,24/02/2026
3300202285150,2285150,HOSPITAL MUNICIPAL PREFEITO ARMANDO DA SILVA CARVALHO,SECRETARIA MUNICIPAL DE SAUDE DE ARARUAMA,nome Hospital Municipal,"RUA DR JOAO FLORENCIO SOBRINHO, S/N, SAO VICENTE DE PAULO - CEP 28988892",SAO VICENTE DE PAULO,28988892,ARARUAMA,330020,(22)26661238,,-22.872260683632845,-42.34323978424072,1031,M,006,009,03/02/2026
3300222285975,2285975,HOSPITAL MUNICIPAL NOSSA SENHORA DAS DORES,HOSPITAL MUNICIPAL NOSSA SENHORA DAS DORES,nome Hospital Municipal + tipo hospital/natureza Municipio,"AV PRES VARGAS, 250, CENTRO - CEP 25845000",CENTRO,25845000,AREAL,330022,(24)22579702,hmnsdareal@gmail.com,-22.229978963522584,-43.10259242883515,1244,M,006,009,18/09/2025
3300236200702,6200702,HOSPITAL MUNICIPAL DR RODOLPHO PERISSE,PREFEITURA MUNICIPAL DE ARMACAO DOS BUZIOS,nome Hospital Municipal,"ESTRADA DOS BUZIOS, S/N, HOSPITAL, SAO JOSE - CEP 28958580",SAO JOSE,28958580,ARMACAO DOS BUZIOS,330023,2226237622,saudebuzios@gmail.com,-22.774737229509423,-41.93082332611084,1031,M,006,009,03/03/2026
3300405916313,5916313,HOSPITAL MUNICIPAL DO OLHO,HOSPITAL MUNICIPAL DO OLHO,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA TENENTE JOSE EDUARDO, 200, ANEXO, ANO BOM - CEP 27323240",ANO BOM,27323240,BARRA MANSA,330040,,,-22.545438575088916,-44.17222738265991,1244,M,006,009,12/11/2025
3300452969734,2969734,HOSPITAL INFANTIL MILENE ISABELY CHRISTOVAM,MUNICIPIO DE BELFORD ROXO,tipo hospital + natureza Municipio,"AVENIDA JOAQUIM DA COSTA LIMA, S/N, PQ FERREIRAS - CEP 26116200",PQ FERREIRAS,26116200,BELFORD ROXO,330045,,,-22.73171,-43.35362,1244,M,006,009,30/03/2026
3300452289571,2289571,HOSPITAL MUNICIPAL DE BELFORD ROXO,SMS BELFORD ROXO,nome Hospital Municipal + tipo hospital/natureza Municipio,"AVENIDA RETIRO DA IMPRENSA, 1013, VILA MEDEIROS - CEP 26112180",VILA MEDEIROS,26112180,BELFORD ROXO,330045,(21)26621660,,-22.749984323954173,-43.40430021286011,1244,M,006,009,30/03/2026
3300455886740,5886740,MATERNIDADE MUNICIPAL DE BELFORD ROXO,MUNICIPIO DE BELFORD ROXO,tipo hospital + natureza Municipio,"AVENIDA BENJAMIN PINTO DIAS, S/N, CENTRO - CEP 26116200",CENTRO,26116200,BELFORD ROXO,330045,,,-22.7717459,-43.393851,1244,M,006,009,31/03/2026
3300456035809,6035809,UPA 24H BOM PASTOR BELFORD ROXO,SMS BELFORD ROXO,tipo hospital + natureza Municipio,"RUA NEIDE SIMAO, 435, BOM PASTOR - CEP 26113300",BOM PASTOR,26113300,BELFORD ROXO,330045,20709119,upa6_belfordroxo@saude.rj.gov.,-22.764171789927868,-43.39827060699463,1244,M,006,007,30/03/2026
3300705903394,5903394,HOSPITAL MUNICIPAL DA MULHER EM CABO FRIO,HOSPITAL MUNICIPAL DA MULHER EM CABO FRIO,nome Hospital Municipal,"FLORISBELA PENA, S/N, BRAGA - CEP 28908050",BRAGA,28908050,CABO FRIO,330070,22 26462506,CONTABILIDADE_SAUDE@CABOFRIO.RJ.GOV.BR,-22.89252396939545,-42.03137397766113,1031,M,006,009,28/01/2026
3300702278138,2278138,HOSPITAL MUNICIPAL OTIME CARDOSO DOS SANTOS,SECRETARIA MUNICIPAL DE SAUDE DE CABO FRIO,nome Hospital Municipal,"EST VELHA DE BUZIOS, S/N, JD ESPERANCA - CEP 28922270",JD ESPERANCA,28922270,CABO FRIO,330070,(24)26299257,,-22.84188974893186,-42.025564312934875,1031,M,006,001,16/09/2025
3300802696924,2696924,HOSPITAL MUNICIPAL DR CELSO MARTINS,SMSDC DE CACHOEIRAS DE MACACU,nome Hospital Municipal,"RUA PREFEITO JOSE DA SILVA, 177, CAMPO DO PRADO - CEP 28681300",CAMPO DO PRADO,28681300,CACHOEIRAS DE MACACU,330080,(21)26492006,faturamentohmcm@gmail.com,-22.461147651243007,-42.65408635139465,1031,M,006,009,08/04/2026
3300902283794,2283794,HOSPITAL MUNICIPAL MOACYR GOMES DE AZEVEDO,SECRETARIA MUNICIPAL DE SAUDE DE CAMBUCI,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA SETE DE SETEMBRO, 06, CENTRO - CEP 28430000",CENTRO,28430000,CAMBUCI,330090,2227675001,,-21.57745493612733,-41.9112753868103,1244,M,006,007,02/10/2025
3301302280396,2280396,HOSPITAL MUNICIPAL ANGELA MARIA SIMOES MENEZES,HOSPITAL MUNICIPAL ANGELA MARIA SIMOES MENEZES,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA PASTOR LUIZ LAURENTINO, 1292, SANTA ELY - CEP 28860000",SANTA ELY,28860000,CASIMIRO DE ABREU,330130,2227784440,faturamento.hmca@gmail.com,-22.49174417390376,-42.20088151854185,1244,M,006,007,06/03/2026
3301402290073,2290073,HOSPITAL MUNICIPAL ANA MOREIRA,SECRETARIA MUNICIPAL DE SAUDE DE CONCEICAO DE MACABU,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA ROSENDO FONTES TAVARES, 199, PREDIO, BOCAINA - CEP 28740000",BOCAINA,28740000,CONCEICAO DE MACABU,330140,2227792486,semsa@conceicaodemacabu.rj.gov.br,-22.089700980773152,-41.86716377735138,1244,M,006,009,10/04/2026
3301509491619,9491619,HOSPITAL DE CORDEIRO,MUNICIPIO DE CORDEIRO,tipo hospital + natureza Municipio,"RUA ABEL VENTURA RIBEIRO DE MORAES, 361, CENTRO - CEP 28540000",CENTRO,28540000,CORDEIRO,330150,,,-22.029059,-42.361035,1244,M,006,009,06/04/2026
3301602267810,2267810,HOSPITAL MUNICIPAL DR ANTONIO CARLOS DA SILVA MONNERAT,SECRETARIA MUNICIPAL DE SAUDE DE DUAS BARRAS,nome Hospital Municipal + tipo hospital/natureza Municipio,"AV GETULIO VARGAS, 199, CENTRO - CEP 28650000",CENTRO,28650000,DUAS BARRAS,330160,2225341177,,-22.051449,-42.522561,1244,M,006,009,01/03/2026
